Year,Donations,Attendance,Suiters,Charity,Theme
2013,3000,704,185,Nevada Human Society,Roaring Twenties
2014,16650,1442,465,Safe Haven Wildlife Sanctuary,80's Pop Culture
2015,34000,2443,707,Safe Haven Wildlife Sanctuary,Utopia
2016,36500,3651,900,Safe Haven Rescure Zoo,Fallen Utopia
2017,43600,5138,1000,Safe Haven Wildlife Sanctuary,Story
2018,30146,5435,1300,Safe Haven Wildlife Sanctuary,A Musical Tail
2019,32249,5692,,Safe Haven Wildlife Sanctuary,Fantasy Tabletop Role-Playing
